,Number,Name_of_Covered_Entity,Region,Individuals_Affected,Date_of_Breach,Type_of_Breach,Location_of_Breached_Information,Date_Posted_or_Updated,Summary,breach_start,year
552,553,"Intervention Services, Inc.",Sembawang,1200,1/19/2013,Theft,Laptop,2014-01-23,,2013-01-19,2013
553,554,West Georgia Ambulance,Eunos,500,12/13/2012,Loss,Laptop,2014-01-23,,2012-12-13,2012
554,555,"Center for Pain Management, LLC",Tanglin,5822,1/22/2013,Theft,Laptop,2014-01-23,,2013-01-22,2013
555,556,Multiple Health Plans,Yio Chu Kang,1368,2013-07-12 00:00:00,"Theft, Other",Paper,2014-01-23,,2013-12-07,2013
556,557,Froedtert Health,Simei,43549,10/27/2012-12/13/2012,Unauthorized Access/Disclosure,Other,2014-03-24,,2012-10-27,2012
557,558,Jackson Health System,Sembawang,566,05/26/2011 - 02/18/2012,Other,Paper,2014-01-23,,2011-05-26,2011
558,559,Riderwood Village,Tanglin,5270,11/18/2012,Theft,Laptop,2014-01-23,,2012-11-18,2012
559,560,"Kindred Healthcare, Inc. d/b/a Kindred Transitional Care and Rehabilitation - Marl",Paya Lebar,716,12/15/2012-12/17/2012,Theft,Other Portable Electronic Device,2014-01-23,,2012-12-15,2012
560,561,"HomeCare of Mid-Missouri, Inc.",Queenstown,4027,12/14/2012,Theft,Laptop,2014-01-23,,2012-12-14,2012
561,562,Heyman HospiceCare at Floyd,Eunos,1819,2013-04-01 00:00:00,Theft,Laptop,2014-01-23,,2013-01-04,2013
562,563,Agency for Health Care Administration,Sembawang,1892,11/01/2012 - 12/20/2012,Unauthorized Access/Disclosure,Paper,2014-01-23,,2012-11-01,2012
563,564,ABQ HealthPartners,Choa Chu Kang,778,12/20/2012,Theft,Laptop,2014-01-23,,2012-12-20,2012
564,565,Terrell County Health Department,Eunos,18000,01/09/2012 -  04/17/2012,Unauthorized Access/Disclosure,Network Server,2014-01-23,,2012-01-09,2012
565,566,Florida Healthy Kids Corporation,Sembawang,3667,11/01/2012-12/20/2012,Unauthorized Access/Disclosure,Paper,2014-01-23,,2012-11-01,2012
566,567,Stronghold Counseling Services Inc,Pasir Laba,8500,12/24/2012,Theft,Desktop Computer,2014-01-23,,2012-12-24,2012
567,568,Arizona Oncology,Toa Payoh,501,11/21/2012,Theft,Laptop,2014-01-23,,2012-11-21,2012
568,569,Crescent Health Inc. - a Walgreens Company,Yio Chu Kang,109000,12/28/2012,Theft,Desktop Computer,2014-01-23,,2012-12-28,2012
569,570,"County of San Bernardino, Department of Behavioral Health",Yio Chu Kang,686,2013-12-01 00:00:00,Theft,Paper,2014-01-23,,2013-01-12,2013
570,571,"WOMENS HEALTH ENTERPRISE, INC.",Eunos,3000,2013-02-01 00:00:00,Theft,Laptop,2014-01-23,,2013-01-02,2013
571,572,The Brookdale University Hospital and Medical Center,Sengkang,2261,2012-11-08 00:00:00,Theft,Paper,2014-06-20,"OCR opened an investigation of the covered entity (CE), The Brookdale University Hospital and Medical Center, after it reported its business associate (BA), Standard Register, inadvertently mailed statements to 2,261 individuals using another affiliated CE's envelopes.  The protected health information (PHI) included names, addresses and financial information.  OCR provided technical assistance to the CE regarding safeguarding PHI.",2012-08-11,2012
572,573,The Brookdale University Hospital and Medical Center,Sengkang,28187,9/21/2012,Theft,Other Portable Electronic Device,2014-06-20,"The covered entity's (CE) business associate (BA), Health Plus Amerigroup, mailed an unencrypted compact disk that contained the electronic protected health information (ePHI) of 28,187 individuals to the CE, The Brookdale University Hospital and Medical Center.  OCR closed this breach report and consolidated into an existing breach report filed by OHP PHSP, Inc. regarding the same issues.",2012-09-21,2012
573,574,"Ultra Stores, Inc.",Boon Lay,500,9/13/2012,Unauthorized Access/Disclosure,Other,2014-03-24,,2012-09-13,2012
574,575,South Miami Hospital,Sembawang,834,2011-01-06 00:00:00,Unauthorized Access/Disclosure,Electronic Medical Record,2014-01-23,,2011-06-01,2011
575,576,Lancaster General Medical Group,Serangoon,527,2013-05-02 00:00:00,Theft,Paper,2014-01-23,,2013-02-05,2013
576,577,Maine Medical Center,Aljunied,1920,2/27/2013,Other,E-mail,2014-02-12,,2013-02-27,2013
577,578,"State of California, Dept. of Developmental Services",Yio Chu Kang,18162,2012-10-11 00:00:00,Theft,Laptop,2014-01-23,,2012-11-10,2012
578,579,Utah Department of Health ,Farrer Park,6332,01/10/2013-01/11/2013,Loss,Other Portable Electronic Device,2014-01-23,,2013-01-10,2013
579,580,Sports Rehabilitation Consultants,Jurong East,1200,2013-01-02 00:00:00,Theft,Desktop Computer,2014-02-12,,2013-02-01,2013
580,581,University of Connecticut Health Center,Admiralty,1382,06/07/2010 - 12/07/2012,Unauthorized Access/Disclosure,Network Server,2014-01-23,,2010-06-07,2010
581,582,"United HomeCare Services, Inc.",Sembawang,12299,2013-08-01 00:00:00,Theft,Laptop,2014-01-23,,2013-01-08,2013
582,583,United Home Care Services of Southwest Florida< LLC,Sembawang,1318,2013-08-01 00:00:00,Theft,Laptop,2014-01-23,,2013-01-08,2013
583,584,"catoctin Dental/Richard B. Love, DDS, PA",Tanglin,6400,2013-03-01 00:00:00,Hacking/IT Incident,Network Server,2014-01-23,,2013-01-03,2013
584,585,Empire Blue Cross Blue Shield,Novena,2608,11/01/2011-10/01/2012,"Theft, Unauthorized Access/Disclosure",Network Server,2014-01-23,,2011-11-01,2011
585,586,Anthem Blue Cross Blue Shield (OH),Novena,1678,11/01/2011-10/01/2012,"Theft, Unauthorized Access/Disclosure",Network Server,2014-01-23,,2011-11-01,2011
586,587,Anthem Blue Cross Blue Shield (IN),Novena,528,11/01/2011-10/01/2012,"Theft, Unauthorized Access/Disclosure",Network Server,2014-01-23,,2011-11-01,2011
587,588,Mount Sinai Medical Center,Sembawang,628,10/01/2012 - 02/18/2013,Theft,"Desktop Computer, Paper",2014-01-23,,2012-10-01,2012
588,589,"Thomas L. Davis, Jr. DDS",Boon Keng,3269,2013-12-02 00:00:00,Theft,"Desktop Computer, Electronic Medical Record",2014-01-23,,2013-02-12,2013
589,590,"HealthCare for Women, Inc.",Paya Lebar,8727,01/18/2013-01/23/2013,Hacking/IT Incident,Network Server,2014-01-23,,2013-01-18,2013
590,591,University of Mississippi Medical Center,Yishun,500,11/01/2012-01/19/2013,Loss,Laptop,2014-01-23,,2012-11-01,2012
591,592,Granger Medical Clinic,Farrer Park,2600,1/17/2013,"Theft, Loss, Other",Paper,2014-02-12,,2013-01-17,2013
592,593,Texas Tech Unversity Health Sciences Center,Yishun,697,2/18/2013,Unauthorized Access/Disclosure,Paper,2014-01-23,,2013-02-18,2013
593,594,Rite Aid #10217,Pasir Ris,2082,2013-01-02 00:00:00,"Unknown, Other",Paper,2014-02-12,,2013-02-01,2013
594,595,WA Department of Social and Health Services,Punggol,629,2013-04-02 00:00:00,Theft,Laptop,2014-01-23,,2013-02-04,2013
595,596,Carpenters Health & Welfare Trust Fund for California,Yio Chu Kang,2400,03/11/2013-03/12/2013,Unauthorized Access/Disclosure,Paper,2014-01-23,,2013-03-11,2013
596,597,"Shands Jacksonville Medical Center, Inc.",Sembawang,1025,05/02/2012-06/22/2012,"Theft, Unauthorized Access/Disclosure",Electronic Medical Record,2014-01-23,,2012-05-02,2012
597,598,University of Florida,Sembawang,14519,03/01/2009 - 10/25/2012,"Theft, Unauthorized Access/Disclosure, Other",Network Server,2014-01-23,,2009-03-01,2009
598,599,Kmart Corporation,Boon Lay,12542,3/17/2013,Theft,Electronic Medical Record,2014-02-12,,2013-03-17,2013
599,600,GLENS FALLS HOSPITAL,Sengkang,2360,11/02/2012 - 03/14/2013,Theft,Network Server,2014-06-03,"The covered entity's (CE) business associate (BA) operated a server containing the electronic protected health information (ePHI) of 2,360 individuals that was vulnerable to access by unauthorized persons for over four months.  The ePHI included transcribed doctors' notes, which may have included medical diagnoses, clinical laboratory results, diagnostic imaging reports, emergency department records, and medication administration.  Upon discovery of the breach, the CE engaged a computer forensic expert to investigate the incident and terminated the BA agreement.  As a result of OCR's investigation, the CE ensured that its BA secured the server, verified that the server was no longer accessible from the Internet, and required the BA to return or destroy all of the CE's ePHI.",2012-11-02,2012
600,601,Hospice and Palliative Care Center of Alamance Caswell,Bukit Panjang,5370,2/24/2013,"Theft, Unauthorized Access/Disclosure","Laptop, Paper",2014-01-23,,2013-02-24,2013
601,602,"Texas Health Care, P.L.L.C.",Yishun,554,2013-10-03 00:00:00,Theft,Paper,2014-01-23,,2013-03-10,2013
602,603,Network Health Insurance Corporation,Simei,3794,2/27/2012,Unauthorized Access/Disclosure,Paper,2014-03-24,,2012-02-27,2012
603,604,Wm. Jennings Bryan Dorn VAMC,Little India,7405,2013-11-02 00:00:00,Loss,Laptop,2014-01-23,,2013-02-11,2013
604,605,Schneck Medical Center,Novena,3131,3/14/2013,Unauthorized Access/Disclosure,Other,2014-02-12,,2013-03-14,2013
605,606,The Guidance Center of Westchester,Sengkang,1416,2/21/2013,Theft,Desktop Computer,2014-01-23,,2013-02-21,2013
606,607,Hope Hospice,Yishun,818,12/27/2012 - 02/22/2013,Other,E-mail,2014-01-23,,2012-12-27,2012
607,608,"IHC Health Services, Inc. dba Intermountain Life Flight",Farrer Park,857,3/28/2013,Unauthorized Access/Disclosure,Other,2014-02-12,,2013-03-28,2013
608,609,Valley Mental Health,Farrer Park,700,2/27/2013,Theft,Desktop Computer,2014-01-23,,2013-02-27,2013
609,610,Delta Dental of Pennsylvania,Serangoon,14829,3/20/2013,Loss,Paper,2014-01-23,,2013-03-20,2013
610,611,Raleigh Orthopaedic Clinic,Bukit Panjang,17300,1/15/2013,"Theft, Improper Disposal, Unauthorized Access/Disclosure",Paper,2014-01-23,,2013-01-15,2013
611,612,Laboratory Corporation of America,Bukit Panjang,1580,3/15/2013,Theft,Desktop Computer,2014-02-12,,2013-03-15,2013
612,613,"Arizona Counseling & Treatment Services, LLC",Toa Payoh,3800,03/18/2013-03/25/2013,Theft,Other Portable Electronic Device,2014-01-23,,2013-03-18,2013
613,614,Wood County Hospital,Jurong East,2500,3/19/2013,Theft,Other,2014-01-23,,2013-03-19,2013
614,615,University of Rochester Medical Center & Affiliates,Sengkang,537,2/15/2013,Loss,Other Portable Electronic Device,2014-01-23,,2013-02-15,2013
615,616,Orthopedics & Adult Reconstructive Surgery,Yishun,22000,03/01/2013 - 03/13/2013,Loss,Other Portable Electronic Device,2014-01-23,,2013-03-01,2013
616,617,El Centro Regional Medical Center,Yio Chu Kang,189489,2012-07-11 00:00:00,Improper Disposal,Paper,2014-01-23,,2012-11-07,2012
617,618,Seattle - King County Department of Public Health,Punggol,750,2013-07-03 00:00:00,Improper Disposal,Paper,2014-01-23,,2013-03-07,2013
618,619,Regional Medical Center,Bishan,1180,2013-04-02 00:00:00,Unauthorized Access/Disclosure,E-mail,2014-01-23,,2013-02-04,2013
619,620,Presbyterian Anesthesia Associates PA,Bukit Panjang,9988,2013-01-04 00:00:00,Hacking/IT Incident,Network Server,2014-01-23,,2013-04-01,2013
620,621,"Integrity Oncology, an office of Baptist Medical Group",Bishan,539,2013-05-03 00:00:00,Other,Desktop Computer,2014-01-23,,2013-03-05,2013
621,622,"Piedmont HealthCare, P.A.",Bukit Panjang,1924,3/28/2013,Hacking/IT Incident,Network Server,2014-01-23,,2013-03-28,2013
622,623,Indiana University Health Arnett,Novena,10350,2013-09-04 00:00:00,Theft,Laptop,2014-01-23,,2013-04-09,2013
623,624,"Dent Neurologic Group, LLP",Sengkang,10000,5/13/2013,Other,E-mail,2014-01-23,,2013-05-13,2013
624,625,City of Norwood,Jurong East,9577,04/14/2013 - 04/19/2013,Loss,Laptop,2014-01-23,,2013-04-14,2013
625,626,Lutheran Social Services of South Central Pennsylvania,Serangoon,7803,06/01/2012 - 03/07/2013,Hacking/IT Incident,Network Server,2014-01-23,,2012-06-01,2012
626,627,Comfort Dental Marion and Kokomo,Novena,5388,03/14/2013-03/18/2013,Improper Disposal,Other,2014-01-23,,2013-03-14,2013
627,628,Erskine Family Dentistry,Novena,2723,3/19/2013,Hacking/IT Incident,Desktop Computer,2014-02-12,,2013-03-19,2013
628,629,Health Resources of Arkansas,Bouna Vista,1900,4/14/2013,"Theft, Unauthorized Access/Disclosure",Other,2014-01-23,,2013-04-14,2013
629,630,Various Health Plans,Clementi,3164,04/14/2013-04/15/2013,Theft,Laptop,2014-01-23,,2013-04-14,2013
630,631,Independence Care System,Sengkang,2434,2013-07-05 00:00:00,Theft,Laptop,2014-01-23,,2013-05-07,2013
631,632,Sonoma Valley Hospital,Yio Chu Kang,1386,2/14/2013,Other,Other,2014-01-23,,2013-02-14,2013
632,633,University of Florida,Sembawang,5875,02/01/2012- 04/11/2013,"Theft, Unauthorized Access/Disclosure",Electronic Medical Record,2014-01-23,,2012-02-01,2012
633,634,"Community Support Services, Inc.",Jurong East,1167,03/20/2013-03/26/2013,Theft,E-mail,2014-02-12,,2013-03-20,2013
634,635,UMASSAmherst,Paya Lebar,1670,10/22/2012,Hacking/IT Incident,Desktop Computer,2014-01-23,,2012-10-22,2012
635,636,Palm Beach County Health Department,Sembawang,877,2013-07-01 00:00:00,Unauthorized Access/Disclosure,Desktop Computer,2014-01-23,,2013-01-07,2013
636,637,Lucile Packard Children's Hospital,Yio Chu Kang,12900,2013-08-05 00:00:00,Theft,Laptop,2014-01-23,,2013-05-08,2013
637,638,Fayetteville VAMC,Bukit Panjang,1093,4/17/2013,Improper Disposal,Paper,2014-01-23,,2013-04-17,2013
638,639,Lincoln County Health and Human Services/Lincoln Community Health Center,Boon Keng,959,4/17/2013,Unauthorized Access/Disclosure,Paper,2014-01-23,,2013-04-17,2013
639,640,Union Security Insurance Company,Queenstown,1127,5/17/2013,Improper Disposal,E-mail,2014-01-23,,2013-05-17,2013
640,641,"Gulf Breeze Family Eyecare, Inc",Sembawang,9626,03/08/2013-05/09/2013,"Theft, Unauthorized Access/Disclosure","Desktop Computer, Network Server, E-mail, Electronic Medical Record, Paper",2014-01-23,,2013-03-08,2013
641,642,Jacksonville Spine Center,Sembawang,5200,4/25/2013,Unauthorized Access/Disclosure,Paper,2014-01-23,,2013-04-25,2013
642,643,Iowa Department of Human Services,Bukit Merah,7335,4/30/2013,"Loss, Unknown",Other,2014-01-23,,2013-04-30,2013
643,644,James A. Fosnaugh,Bukit Batok,2125,05/01/2013 - 05/03/2013,Loss,Other Portable Electronic Device,2014-01-23,,2013-05-01,2013
644,645,Lone Star Circle of Care,Yishun,1955,05/01/2013-05/02/2013,Theft,Laptop,2014-01-23,,2013-05-01,2013
645,646,Aflac,Eunos,679,2013-09-05 00:00:00,Theft,Laptop,2014-01-23,,2013-05-09,2013
646,647,Indiana Family & Social Services Administration,Novena,187533,04/06/2013-05/21/2013,Other,Paper,2014-01-23,,2013-04-06,2013
647,648,Northrop Grumman Retiree Health Plan,Marine Parade,4305,5/20/2013,Theft,Paper,2014-06-24,"Business associate (BA) employees erroneously sent 4,305 health plan members' protected health information (PHI) to other plan members.  The PHI involved in the breach included names and prescribed medication(s).  The covered entity, Northrop Grumman Retiree Health Plan, provided breach notification to HHS, and the BA, CVS Caremark, provided breach notification to affected individuals and the media.  Following the breach, the BA revised its quality control policies for targeted mailings and retrained employees involved in the breach to prevent similar incidents in the future.  OCR obtained assurances that the BA implemented the breach notification and policy revisions listed above.",2013-05-20,2013
648,649,"Health Net, Inc.",Yio Chu Kang,8331,04/01/2013 - 05/31/2013,Other,Paper,2014-01-23,,2013-04-01,2013
649,650,"South Florida Neurology Associates, P.A.",Sembawang,900,05/25/2013-05/30/2013,Theft,Laptop,2014-01-23,,2013-05-25,2013
650,651,Samaritan Regional Health System,Jurong East,2203,5/29/2013,Other,Paper,2014-01-23,,2013-05-29,2013
651,652,MED-EL Coproration,Bukit Panjang,609,6/25/2013,Other,E-mail,2014-01-23,,2013-06-25,2013
652,653,Illinois Department of Healthcare and Familiy Services,Boon Lay,3133,2013-08-05 00:00:00,Other,Paper,2014-01-23,,2013-05-08,2013
653,654,Delta Dental of Pennsylvania,Serangoon,4718,5/13/2013,Loss,Paper,2014-01-23,,2013-05-13,2013
654,655,"Medtronic, Inc.",Chai Chee,2764,03/28/2013-03/29/2013,Loss,Paper,2014-01-23,,2013-03-28,2013
655,656,Texas Health Harris Methodist Hospital Fort Worth,Yishun,277014,2013-11-05 00:00:00,Improper Disposal,Other,2014-01-23,,2013-05-11,2013
656,657,Long Beach Memorial Medical Center,Yio Chu Kang,2864,09/01/2012-07/01/2013,Unauthorized Access/Disclosure,Electronic Medical Record,2014-01-23,,2012-09-01,2012
657,658,Hansen & Associates,Teban Gardens,2700,05/21/2013-05/29/2013,Theft,Desktop Computer,2014-06-10,,2013-05-21,2013
658,659,Sheet Metal Local 36 Welfare Fund,Queenstown,4560,08/01/2012-07/08/2013,Unauthorized Access/Disclosure,Other,2014-01-23,,2012-08-01,2012
659,660,Harris County,Yishun,21000,08/15/2005 - 06/14/2007,Unauthorized Access/Disclosure,Desktop Computer,2014-01-23,,2005-08-15,2005
660,661,"San Jose Medical Supply Co., Inc.",Yio Chu Kang,800,10/01/2011-11/31/2011,"Theft, Unauthorized Access/Disclosure, Hacking/IT Incident","Desktop Computer, Network Server",2014-01-23,,2011-10-01,2011
661,662,"GEO Care, LLC",Sembawang,710,4/16/2013,Unauthorized Access/Disclosure,Desktop Computer,2014-01-23,,2013-04-16,2013
662,663,The Brookdale Hospital and Medical Center,Sengkang,2700,5/24/2013,Loss,Other Portable Electronic Device,2014-01-23,,2013-05-24,2013
663,664,Louisiana State University Health Care Services Division,Kovan,6994,2011-01-12 00:00:00,Unauthorized Access/Disclosure,Desktop Computer,2014-01-23,,2011-12-01,2011
664,665,Oregon Health & Science University,Boon Keng,1361,01/01/2011-07/03/2013,Unauthorized Access/Disclosure,Other,2014-01-31,,2011-01-01,2011
665,666,"Rocky Mountain Spine Clinic, P.C.",Redhill,532,2013-11-06 00:00:00,"Theft, Unauthorized Access/Disclosure",Network Server,2014-01-23,,2013-06-11,2013
666,667,"Vitreo-Retinal Medical Group, Inc. ",Yio Chu Kang,1837,2013-05-06 00:00:00,Theft,Laptop,2014-01-23,,2013-06-05,2013
667,668,Arkansas Department of Human Services,Bouna Vista,1911,4/14/2013,Theft,Laptop,2014-02-12,,2013-04-14,2013
668,669,Baylor All Saints Medical Center at Fort Worth,Yishun,940,05/07/2013-06/06/2013,Unauthorized Access/Disclosure,Other Portable Electronic Device,2014-02-12,,2013-05-07,2013
669,670,"Cogent Healthcare, Inc.",Bishan,32151,05/05/2013-06/24/2013,Unauthorized Access/Disclosure,Network Server,2014-01-23,,2013-05-05,2013
670,671,Young Family Medicine Inc.,Jurong East,2045,2013-12-06 00:00:00,Theft,Laptop,2014-01-23,,2013-06-12,2013
671,672,Hancock OB/GYN,Novena,1396,11/09/2011 - 06/17/2013,Unauthorized Access/Disclosure,Electronic Medical Record,2014-01-23,,2011-11-09,2011
672,673,Colfax,Novena,5497,2013-11-04 00:00:00,Other,Other,2014-02-12,,2013-04-11,2013
673,674,Missouri Department of Social Services,Queenstown,1357,10/16/2011 - 06/07/2013,Unauthorized Access/Disclosure,Paper,2014-01-23,,2011-10-16,2011
674,675,Foundations Recovery Network,Bishan,5690,6/15/2013,Theft,Laptop,2014-01-23,,2013-06-15,2013
675,676,California Correctional Health Care Services,Yio Chu Kang,1033,6/19/2013,Other,Paper,2014-01-23,,2013-06-19,2013
676,677,North Texas Comprehensive Spine & Pain Center,Yishun,3200,6/16/2013,"Theft, Loss",Other Portable Electronic Device,2014-02-12,,2013-06-16,2013
677,678,Minne-Tohe Health Center/Elbowoods Memorial Health Center,Potong Pasir,10000,2011-01-10 00:00:00,"Improper Disposal, Unauthorized Access/Disclosure","Desktop Computer, Other",2014-01-23,,2011-10-01,2011
678,679,Jackson Health System,Sembawang,1471,01/08/2013 - 01/10/2013,Other,Paper,2014-01-23,,2013-01-08,2013
679,680,"Advocate Health and Hospitals Corporation, d/b/a Advocate Medical Group",Boon Lay,4029530,7/15/2013,Theft,Desktop Computer,2014-01-23,,2013-07-15,2013
680,681,"Summit Community Care Clinic, Inc.",Redhill,921,7/22/2013,Hacking/IT Incident,Desktop Computer,2014-01-23,,2013-07-22,2013
681,682,UT Physicians,Yishun,596,07/22/2013-08/02/2013,"Theft, Loss",Laptop,2014-01-23,,2013-07-22,2013
682,683,Parkview Community Hospital Medical Center,Yio Chu Kang,32000,05/05/2013 - 06/24/2013,Other,Network Server,2014-01-23,,2013-05-05,2013
683,684,Atlanta Center for Reproductive Medicine,Eunos,654,2013-12-07 00:00:00,Other,E-mail,2014-01-23,,2013-07-12,2013
684,685,St. Anthony's Physician Organization,Queenstown,2600,7/29/2013,Theft,"Laptop, Other Portable Electronic Device",2014-01-23,,2013-07-29,2013
685,686,Janna Benkelman LPC LLC,Redhill,1500,2013-01-08 00:00:00,Theft,Laptop,2014-01-23,,2013-08-01,2013
686,687,Olson & White Orthodontics,Queenstown,10000,7/22/2013,Theft,"Desktop Computer, Network Server",2014-01-23,,2013-07-22,2013
687,688,Kaiser Foundation Health Plan of the Northwest,Boon Keng,647,3/15/2013,Unauthorized Access/Disclosure,Electronic Medical Record,2014-01-23,,2013-03-15,2013
688,689,"Hankyu Chung, M.D.",Yio Chu Kang,2182,6/17/2013,Theft,Laptop,2014-01-23,,2013-06-17,2013
689,690,"ICS Collection Service, Inc. on behalf of University of Chicago Physicians Group",Boon Lay,1290,2013-09-07 00:00:00,Hacking/IT Incident,Other,2014-01-23,,2013-07-09,2013
690,691,ACO of Puerto Rico,Ang Mo Kio,5000,03/05/2013 - 07/16/2013,Theft,Network Server,2014-06-20,"Upon request, a subcontractor (PHM Software Solutions) of the covered entity's (CE) business associate (BA), PHM Healthcare Solutions, modified a software application the CE was utilizing  which led to the disclosure of electronic protected health information (ePHI) of 5,000 individuals on the Internet.  The ePHI included names, gender, member identification numbers, dates of birth, and consent forms.  The CE provided breach notification to HHS, the media, and affected individuals and posted substitute notice on its website.  Upon discovery of the breach, the BA removed the software application and placed it offline.  As a result of OCR's investigation, the CE had its BA to conduct a risk analysis and create a risk management plan to address any vulnerabilities identified in the risk analysis.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR provided technical assistance to assist the CE understand its obligations under the Privacy and Security Rules regarding BA agreements.  ",2013-03-05,2013
691,692,"NHC HealthCare, Oak Ridge",Bishan,4268,2013-10-05 00:00:00,Loss,Other,2014-03-13,,2013-05-10,2013
692,693,"NHC HealthCare, Mauldin",Little India,4204,5/15/2013,Improper Disposal,Other,2014-03-13,,2013-05-15,2013
693,694,Advocate Health and Hospitals Corporation d/b/a Advocate Medical Group ,Boon Lay,2029,06/30/2013 - 08/15/2013,Hacking/IT Incident,Network Server,2014-02-12,,2013-06-30,2013
694,695,Dreyer Medical Clinic,Boon Lay,998,06/30/2013 - 08/15/2013,Hacking/IT Incident,Network Server,2014-01-23,,2013-06-30,2013
695,696,"South Shore Physicians, PC",Sengkang,8000,01/01/2006 - 01/12/2012,Theft,Network Server,2014-01-23,,2006-01-01,2006
696,697,Dermatology Associates of Tallahassee,Sembawang,916,2013-04-09 00:00:00,Unknown,Other,2014-01-23,,2013-09-04,2013
697,698,Sierra View District Hospital,Yio Chu Kang,1009,07/01/2013 - 08/02/2013,Unauthorized Access/Disclosure,Electronic Medical Record,2014-01-23,,2013-07-01,2013
698,699,Missouri Department of Social Services,Queenstown,25461,12/21/2009 - 06/07/2013,Unauthorized Access/Disclosure,Paper,2014-02-12,,2009-12-21,2009
699,700,"Holy Cross Hospital, Inc.",Sembawang,9900,8/14/2013,"Theft, Unauthorized Access/Disclosure","Desktop Computer, Network Server",2014-01-23,,2013-08-14,2013
700,701,Region Ten Community Services Board,Marine Parade,10228,7/29/2013,Hacking/IT Incident,E-mail,2014-01-23,,2013-07-29,2013
701,702,Comprehensive Podiatry LLC,Jurong East,1360,2013-03-08 00:00:00,Theft,Laptop,2014-01-23,,2013-08-03,2013
702,703,Santa Clara Valley Medical Center,Yio Chu Kang,579,09/14/2013 - 09/15/2013,Theft,Laptop,2014-01-23,,2013-09-14,2013
703,704,"Sarah Benjamin, DPM - Littleton Podiatry ",Redhill,3512,8/27/2013,Theft,Laptop,2014-01-23,,2013-08-27,2013
704,705,"Carol L. Patrick, Ph.D.",Jurong East,517,08/08/2013-08/09/2013,Theft,Network Server,2014-01-23,,2013-08-08,2013
705,706,HOPE Family Health,Bishan,6932,2013-04-08 00:00:00,Theft,Laptop,2014-01-23,,2013-08-04,2013
706,707,TSYS Employee Health Plan,Eunos,5232,2013-05-09 00:00:00,Theft,E-mail,2014-01-23,,2013-09-05,2013
707,708,"University of California, San Francisco",Yio Chu Kang,3553,2013-09-09 00:00:00,Theft,"Laptop, Paper",2014-01-23,,2013-09-09,2013
708,709,"Reconstructive Orthopaedic Associates II, P.C. d/b/a Rothman Institute",Serangoon,2350,03/18/2013-05/13/2013,"Theft, Unauthorized Access/Disclosure",Paper,2014-01-23,,2013-03-18,2013
709,710,Group Health Cooperative,Punggol,1015,9/16/2013,Other,Paper,2014-01-23,,2013-09-16,2013
710,711,Schuylkill Health System,Serangoon,2810,2013-07-08 00:00:00,Theft,Laptop,2014-01-23,,2013-08-07,2013
711,712,CaroMont Medical Group,Bukit Panjang,1310,2013-05-08 00:00:00,Other,E-mail,2014-01-23,,2013-08-05,2013
712,713,Mount SInai Medical Center,Sengkang,1586,2013-06-08 00:00:00,Improper Disposal,Paper,2014-01-23,,2013-08-06,2013
713,714,Memorial Hospital of Lafayette County,Simei,4330,2013-03-08 00:00:00,Unauthorized Access/Disclosure,Paper,2014-01-23,,2013-08-03,2013
714,715,Saint Louis University,Queenstown,3100,7/25/2013,Unauthorized Access/Disclosure,E-mail,2014-01-23,,2013-07-25,2013
715,716,MUSC Physicians & MUHA,Little India,7120,6/30/2013,Hacking/IT Incident,Network Server,2014-02-12,,2013-06-30,2013
716,717,Ferris State University - MI College of Optometry,Newton,3947,2011-01-12 00:00:00,Hacking/IT Incident,Network Server,2014-01-23,,2011-12-01,2011
717,718,"Access Counseling, LLC",Novena,566,8/23/2013,Theft,Laptop,2014-01-23,,2013-08-23,2013
718,719,Rose Medical Center,Redhill,606,06/28/2013 - 07/16/2013,Improper Disposal,Paper,2014-01-23,,2013-06-28,2013
719,720,BriovaRx,Boon Lay,1067,07/03/2013 - 07/11/2013,Unauthorized Access/Disclosure,E-mail,2014-01-23,,2013-07-03,2013
720,721,"North Country Hospital and Health Center, Inc",Queenstown,550,9/18/2013,Theft,Laptop,2014-01-23,,2013-09-18,2013
721,722,"Hope Community Resources, Inc.",Woodlands,1556,8/19/2013,Unauthorized Access/Disclosure,E-mail,2014-01-23,,2013-08-19,2013
722,723,Broward Health Medical Center,Sembawang,960,10/01/2012 - 12/31/2012,Unauthorized Access/Disclosure,Desktop Computer,2014-01-23,,2012-10-01,2012
723,724,Sentara Healthcare,Marine Parade,3645,10/01/2012 - 07/11/2013,Theft,"Electronic Medical Record, Paper",2014-01-23,,2012-10-01,2012
724,725,Mount Sinai Medical Center,Sengkang,610,2013-01-08 00:00:00,Loss,Other Portable Electronic Device,2014-02-12,,2013-08-01,2013
725,726,Texas Health Presbyterian Dallas Hospital,Yishun,949,8/22/2013,Theft,Desktop Computer,2014-02-12,,2013-08-22,2013
726,727,Seton Healthcare Family,Yishun,5500,2013-04-10 00:00:00,Theft,Laptop,2014-01-23,,2013-10-04,2013
727,728,BRONX-LEBANON HOSPITAL CENTER,Sengkang,10930,9/23/2009,Unauthorized Access/Disclosure,Network Server,2014-01-23,,2009-09-23,2009
728,729,"Martin Luther King Jr. Health Center, Inc.",Sengkang,37000,9/23/2009,Unauthorized Access/Disclosure,Network Server,2014-01-23,,2009-09-23,2009
